no,code,rarity,name
1,LR01,LR,ゼッツ フィジカムインパクト
2,LR★01P,LR,ゼッツ フィジカムインパクト
3,R02,R,ゼッツ フィジカムインパクト
4,N03,N,ゼッツ フィジカムインパクト
5,N04,N,ゼッツ フィジカムインパクト
6,N05,N,ゼッツ フィジカムインパクト
7,R06,R,ゼロワン ライジングホッパー
8,LR07,LR,ギーツワンネス
9,R08,R,ギーツワンネス
10,N09,N,タイクーン ニンジャフォーム
11,R10,R,ナーゴ ビートフォーム
12,N11,N,バッファ ゾンビフォーム
13,R12,R,パンクジャック モンスターフォーム
14,LR13,LR,Xギーツ
15,LR★13P,LR,Xギーツ
16,N14,N,Xギーツ
17,R15,R,仮面ライダーギーツワンネスコアID
18,N16,N,レインボーガッチャード
19,SR17,SR,ニジゴン
20,SR18,SR,ガヴ オーバーモード
21,SR19,SR,ガヴ マスターモード
22,LR20,LR,ガヴ アメイジングミフォーム
23,R21,R,ガヴ アメイジングミフォーム
24,N22,N,ヴァレン フラッペカスタム
25,N23,N,ヴラム アラモードモード
26,R24,R,クウガ マイティフォーム
27,SR25,SR,ファイズ ブラスターフォーム
28,LR26,LR,電王 クライマックスフォーム
29,N27,N,電王 クライマックスフォーム
30,SR28,SR,ゼロノス ベガフォーム
31,R29,R,NEW電王 ストライクフォーム
32,R30,R,ケータロス
33,LR31,LR,キバ ドガバキフォーム
34,R32,R,キバ ドガバキフォーム
35,N33,N,イクサ バーストモード
36,SR34,SR,イクサ セーブモード(紅音也)
37,SR★34P,SR,イクサ セーブモード(紅音也)
38,R35,R,ダークキバ
39,N36,N,ディケイド
40,N37,N,W サイクロンジョーカー
41,SR38,SR,オーズ タトバ コンボ
42,R39,R,バース(伊達明)
43,SR40,SR,バロン レモンエナジーアームズ
44,SR41,SR,ドライブ タイプフォーミュラ
45,SR★41P,SR,ドライブ タイプフォーミュラ
46,N42,N,ドライブ タイプフォーミュラ
47,R43,R,マッハ
48,SR44,SR,エグゼイド ハンターアクションゲーマー レベル5(フルドラゴン)
49,N45,N,エグゼイド ハンターアクションゲーマー レベル5(フルドラゴン)
50,R46,R,ブレイブ クエストゲーマー レベル2
51,N47,N,スナイプ シューティングゲーマー レベル2
52,N48,N,レーザー バイクゲーマー レベル1
53,LR49,LR,ビルド ジーニアスフォーム
54,LR★49P,LR,ビルド ジーニアスフォーム
55,N50,N,ビルド ジーニアスフォーム
56,R51,R,クローズ
57,N52,N,グリス
58,R53,R,ローグ
59,SR54,SR,エボル コブラフォーム(フェーズ1)
60,SR★54P,SR,エボル コブラフォーム(フェーズ1)
61,N55,N,ジオウ
62,R56,R,新1号
63,N57,N,ZX
64,N58,N,BLACK RX
65,LR59,LR,シン
66,SR60,SR,改造兵士レベル3
67,CP61,CP,ゼロワン ライジングホッパー
68,CP62,CP,セイバー ブレイブドラゴン
69,CP63,CP,リバイ レックスゲノム
70,CP64,CP,ギーツ マグナムブーストフォーム
71,CP65,CP,ガッチャード スチームホッパー
72,CP66,CP,ガヴ ポッピングミフォーム
73,CP67,CP,ゼッツ フィジカムインパクト
74,CP★67P,CP,ゼッツ フィジカムインパクト
75,CP68,CP,ゼッツドライバー
76,CP69,CP,ゴードゼロイダー
77,CP70,CP,無敵のエージェント
